lec_exam,location,meeting_days,begin_time,end_time
EXAM,FUR 128,M,12:00PM,02:30PM
LEC,FUR 136,MWF,09:30AM,10:20AM
EXAM,FUR 136,M,08:30AM,11:00AM
LEC,FUR 111,TR,08:30AM,09:45AM
EXAM,FUR 111,F,08:30AM,11:00AM
LEC,FUR 136,MWF,11:30AM,12:20PM
EXAM,FUR 136,R,12:00PM,02:30PM
LEC,FUR 127,TR,01:00PM,02:15PM
EXAM,FUR 127,T,12:00PM,02:30PM
LEC,FUR 127,MWF,11:30AM,12:20PM
EXAM,FUR 127,R,12:00PM,02:30PM
LEC,FUR 126,MWF,12:30PM,01:20PM
EXAM,FUR 126,M,12:00PM,02:30PM
SKL,FUR 136,TR,08:30AM,10:20AM
EXAM,FUR 136,F,08:30AM,11:00AM
SKL,FUR 136,TR,11:30AM,01:20PM
EXAM,FUR 136,F,12:00PM,02:30PM
SKL,FUR 136,TR,02:30PM,04:20PM
EXAM,FUR 136,R,03:30PM,06:00PM
LEC,JHN 208,TR,11:30AM,12:45PM
EXAM,JHN 208,F,12:00PM,02:30PM
LEC,FUR 128,MWF,09:30AM,10:20AM
EXAM,FUR 128,M,08:30AM,11:00AM
LEC,FUR 128,MWF,10:30AM,11:20AM
EXAM,FUR 128,W,08:30AM,11:00AM
LEC,FUR 127,T,06:00PM,08:30PM
EXAM,FUR 127,T,06:00PM,08:30PM
LEC,FUR 108,MWF,01:30PM,02:20PM
ADD,TSC 202,W,02:30PM,04:30PM
EXAM,FUR 108,W,12:00PM,02:30PM
LEC,FUR 127,MWF,01:30PM,02:20PM
EXAM,FUR 127,W,12:00PM,02:30PM
LEC,FUR 118,TR,11:30AM,12:45PM
EXAM,FUR 118,F,12:00PM,02:30PM
LEC,FUR 109,TR,01:00PM,02:15PM
EXAM,FUR 109,T,12:00PM,02:30PM
LEC,FUR 126,MWF,10:30AM,11:20AM
EXAM,FUR 126,W,08:30AM,11:00AM
LEC,FUR 128,TR,08:30AM,09:45AM
EXAM,FUR 128,F,08:30AM,11:00AM
ACT, ,,,
LEC,RLY 106,TR,08:30AM,09:45AM
LAB,RLY 201,R,02:30PM,04:30PM
EXAM,RLY 106,F,08:30AM,11:00AM
LEC,RLY 204,MWF,10:30AM,11:20AM
LAB,RLY 108,W,02:30PM,04:30PM
EXAM,RLY 204,W,08:30AM,11:00AM
LEC,RLY 106,MWF,09:30AM,10:20AM
LAB,RLY 201,T,02:30PM,04:30PM
EXAM,RLY 106,M,08:30AM,11:00AM
LEC,RLY 204,MWF,12:30PM,01:20PM
LAB,RLY 201,M,02:30PM,04:30PM
EXAM,RLY 204,M,12:00PM,02:30PM
LEC,RLY 106,TR,10:00AM,11:05AM
LAB,RLY 201,W,02:30PM,04:30PM
EXAM,RLY 106,T,08:30AM,11:00AM
LEC,RLY 204,MWF,09:30AM,10:20AM
LAB,RLY 203,T,02:30PM,04:30PM
EXAM,RLY 204,M,08:30AM,11:00AM
LEC,PYR 031,MWF,01:30PM,02:20PM
ADD,PYR 031,R,02:30PM,04:20PM
EXAM,PYR 031,W,12:00PM,02:30PM
LEC,RLY 204,MWF,11:30AM,12:20PM
LAB,RLY 203,W,02:30PM,04:20PM
EXAM,RLY 204,R,12:00PM,02:30PM
LEC,RLY 106,TR,01:00PM,02:15PM
LAB,RLY 203,M,02:30PM,04:30PM
EXAM,RLY 106,T,12:00PM,02:30PM
LEC,PYR 126,TR,01:00PM,02:15PM
EXAM,PYR 126,T,12:00PM,02:30PM
LEC,RLY 204,TR,10:00AM,11:15AM
EXAM,RLY 204,T,08:30AM,11:00AM
LEC,HIP 107,MWF,10:30AM,11:20AM
EXAM,HIP 107,W,08:30AM,11:00AM
LEC,HIP 107,MWF,09:30AM,10:20AM
EXAM,HIP 107,M,08:30AM,11:00AM
LEC,HIP 209,MWF,12:30PM,01:20PM
EXAM,HIP 209,M,12:00PM,02:30PM
LEC,HIP 209,MWF,10:30AM,11:20AM
EXAM,HIP 209,W,08:30AM,11:00AM
LEC,HIP 107,MWF,01:30PM,02:20PM
EXAM,HIP 107,W,12:00PM,02:30PM
LEC,HIP 204,MWF,08:30AM,09:20AM
EXAM,HIP 204,R,08:30AM,11:00AM
LEC,HIP 209,MWF,11:30AM,12:20PM
EXAM,HIP 209,R,12:00PM,02:30PM
LEC,RLY 109E,TR,02:30PM,03:45PM
EXAM,RLY 109E,R,03:30PM,06:00PM
LEC,HIP 209,MWF,08:30AM,09:20AM
EXAM,HIP 209,R,08:30AM,11:00AM
LEC,HIP 209,MWF,09:30AM,10:20AM
EXAM,HIP 209,M,08:30AM,11:00AM
LEC,HIP 107,TR,08:30AM,09:45AM
EXAM,HIP 107,F,08:30AM,11:00AM
LEC,HIP 107,MWF,11:30AM,12:20PM
EXAM,HIP 107,R,12:00PM,02:30PM
LEC,RLY 103,TR,01:00PM,02:15PM
EXAM,RLY 103,T,12:00PM,02:30PM
LEC,RLY 204,MWF,01:30PM,02:20PM
EXAM,RLY 204,W,12:00PM,02:30PM
LEC,RLY 103,MR,02:30PM,03:45PM
EXAM,RLY 103,M,03:30PM,06:00PM
LEC,RLY 108,TR,10:00AM,11:15AM
EXAM,RLY 108,T,08:30AM,11:00AM
LEC,RLY 108,TR,11:30AM,12:45PM
EXAM,RLY 108,F,12:00PM,02:30PM
LEC,HIP 202,MWF,09:30AM,10:20AM
EXAM,HIP 202,M,08:30AM,11:00AM
LEC,RLY 109E,TR,11:30AM,12:45PM
EXAM,RLY 109E,F,12:00PM,02:30PM
SEM,RLY 105,TR,10:00AM,11:15AM
EXAM,RLY 105,T,08:30AM,11:00AM
SEM,HIP 106,M,01:30PM,02:20PM
SEM,HIP 106,M,02:30PM,03:20PM
LEC,HIP 106,MWF,09:30AM,10:20AM
EXAM,HIP 106,M,08:30AM,11:00AM
LEC,HIP 102,TR,08:30AM,09:45AM
EXAM,HIP 102,F,08:30AM,11:00AM
LEC,HIP 102,MWF,10:30AM,11:20AM
EXAM,HIP 102,W,08:30AM,11:00AM
LEC,HIP 106,MWF,10:30AM,11:20AM
EXAM,HIP 106,W,08:30AM,11:00AM
LEC,HIP 102,MWF,11:30AM,12:20PM
EXAM,HIP 102,R,12:00PM,02:30PM
LEC,HIP 102,MR,02:30PM,03:45PM
EXAM,HIP 102,M,03:30PM,06:00PM
LEC,HIP 102,MWF,01:30PM,02:20PM
EXAM,HIP 102,W,12:00PM,02:30PM
LEC,HIP 106,T,05:45PM,08:30PM
EXAM,HIP 106,T,05:45PM,08:30PM
LEC,HIP 205,MWF,10:30AM,11:20AM
EXAM,HIP 205,W,08:30AM,11:00AM
LEC,HIP 205,MW,05:45PM,07:15PM
EXAM,HIP 205,M,05:45PM,07:15PM
SKL,HIP 205,MW,01:30PM,02:45PM
EXAM,HIP 205,W,12:00PM,02:30PM
LEC,HIP 102,TR,10:00AM,11:15AM
EXAM,HIP 102,T,08:30AM,11:00AM
LEC,HIP 102,TR,11:30AM,12:45PM
EXAM,HIP 102,F,12:00PM,02:30PM
LEC,HIP 205,TR,02:30PM,03:45PM
EXAM,HIP 205,R,03:30PM,06:00PM
LEC,HIP 205,TR,01:00PM,02:15PM
EXAM,HIP 205,T,12:00PM,02:30PM
LEC,HIP 106,M,05:45PM,08:30PM
